Planet_num Index Tc Tc_err OMC Source Instrument
1 -6 1980.38403000 0.00044000 0.01493000 Narita2015 K2
1 -5 1988.30421000 0.00061000 0.01291000 Narita2015 K2
1 -4 1996.22197000 0.00048000 0.00847000 Narita2015 K2
1 -3 2004.13851000 0.00066000 0.00281000 Narita2015 K2
1 -2 2012.06161000 0.00042000 0.00371000 Narita2015 K2
1 -1 2019.97953000 0.00066000 -0.00057000 Narita2015 K2
1 0 2027.90124000 0.00068000 -0.00106000 Narita2015 K2
1 1 2035.82024000 0.00041000 -0.00426000 Narita2015 K2
1 2 2043.73925000 0.00054000 -0.00745000 Narita2015 K2
1 3 2051.65861000 0.00059000 -0.01029000 Narita2015 K2
1 24 2218.00410000 0.00220000 -0.03100000 Petigura2020 FLWO
1 28 2249.69550000 0.00140000 -0.02840000 Petigura2020 TRAPPIST
1 35 2305.15050000 0.00140000 -0.02880000 Petigura2020 MuSCAT
1 127 3033.86040000 0.00090000 -0.16130000 Petigura2020 Spitzer
1 135 3097.25020000 0.00240000 -0.14910000 Petigura2020 LCO
1 144 3168.53680000 0.00140000 -0.16230000 Petigura2020 Spitzer
1 337 4697.28902908 0.00438418 -0.39467092 TESS TESS
1 339 4713.12734384 0.00283688 -0.40075616 TESS TESS
1 340 4721.04182988 0.00301275 -0.40847012 TESS TESS
1 341 4728.95965259 0.00299255 -0.41284741 TESS TESS
1 342 4736.88081197 0.00414184 -0.41388803 TESS TESS
1 343 4744.79863469 0.00280750 -0.41826531 TESS TESS
1 430 5433.87877363 0.00392899 -0.56952637 TESS TESS
1 432 5449.72025823 0.00227700 -0.57244177 TESS TESS
2 -3 1984.27227000 0.00144000 -0.03053000 Narita2015 K2
2 -2 1996.18406000 0.00170000 -0.01804000 Narita2015 K2
2 -1 2008.09346000 0.00198000 -0.00794000 Narita2015 K2
2 0 2020.00224000 0.00214000 0.00154000 Narita2015 K2
2 1 2031.90713000 0.00127000 0.00713000 Narita2015 K2
2 2 2043.81473000 0.00135000 0.01543000 Narita2015 K2
2 3 2055.71247000 0.00191000 0.01387000 Narita2015 K2
2 84 3019.47740000 0.00740000 -0.06450000 Petigura2020 Spitzer
2 99 3197.86450000 0.00590000 -0.16690000 Petigura2020 Spitzer
